pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
LTT 9779 b,LTT 9779,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=JENKINS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs.tmp..180J/abstract target=ref>Jenkins et al. 2020</a>,0.79205200,0.00000930,-0.00000930,0,0.016790,0.000140,-0.000120,0,4.720,0.230,-0.230,0,0.421,0.021,-0.021,0,29.32000,0.78000,-0.81000,0,0.09225,0.00245,-0.00255,0,Mass,0.000000,,,0,,,,,1978,19,-19,0,0,<a refstr=JENKINS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs.tmp..180J/abstract target=ref>Jenkins et al. 2020</a>,G7 V,5443.00,14.00,-13.00,0,0.95,0.01,-0.01,0,0.77,0.29,-0.21,0,0.270,0.030,-0.030,0,[Fe/H],4.35,0.16,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h54m40.53s,358.6688767,-37d37m41.61s,-37.6282237,80.4373000,0.3174000,-0.3150000,9.7900000,0.0300000,-0.0300000,8.0160000,0.0290000,-0.0290000,9.6000600,0.0002900,-0.0002900,2020-09-17,2020-09,2020-09-24
NGTS-11 b,NGTS-11,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GILL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...898L..11G/abstract target=ref>Gill et al. 2020</a>,35.45533000,0.00019000,-0.00019000,0,0.201000,0.002100,-0.002200,0,9.158,0.314,-0.359,0,0.817,0.028,-0.032,0,109.33352,29.24036,-23.20159,0,0.34400,0.09200,-0.07300,0,Mass,0.130000,0.100000,-0.090000,0,,,,,435,34,-32,0,0,<a refstr=GILL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...898L..11G/abstract target=ref>Gill et al. 2020</a>,K,5050.00,80.00,-80.00,0,0.83,0.01,-0.01,0,0.86,0.03,-0.03,0,0.220,0.080,-0.080,0,[Fe/H],4.50,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m05.15s,23.5214497,-14d25m08.94s,-14.4191493,190.4220000,1.7770000,-1.7440000,12.4560000,0.0800000,-0.0800000,10.3150000,0.0250000,-0.0250000,12.1895000,0.0002080,-0.0002080,2020-07-02,2020-07,2020-07-09
NGTS-20 b,NGTS-20,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ULMER_MOLL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220703911U/abstract target=ref>Ulmer-Moll et al. 2022</a>,54.18915000,0.00015000,-0.00015000,0,0.313000,0.013000,-0.013000,0,11.994,0.448,-0.448,0,1.070,0.040,-0.040,0,947.12865,50.85255,-47.67426,0,2.98000,0.16000,-0.15000,0,Mass,0.432000,0.023000,-0.023000,0,,,,,688,14,-13,0,0,<a refstr=ULMER_MOLL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220703911U/abstract target=ref>Ulmer-Moll et al. 2022</a>,G1 IV,5980.00,80.00,-80.00,0,1.78,0.05,-0.05,0,1.47,0.09,-0.09,0,0.150,0.080,-0.080,0,[Fe/H],3.80,0.20,-0.20,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h05m10.23s,46.2926368,-21d56m01.13s,-21.9336472,382.8980000,7.4330000,-7.1590000,11.2330000,0.0110000,-0.0110000,9.8300000,0.0190000,-0.0190000,11.0313000,0.0004040,-0.0004040,2022-07-12,2022-07,2022-07-12
NGTS-27 b,NGTS-27,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BOUCHY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A.201B/abstract target=ref>Bouchy et al. 2024</a>,3.37041810,0.00000590,-0.00000570,0,0.044600,0.002600,-0.003600,0,15.648,0.426,-0.392,0,1.396,0.038,-0.035,0,188.47225,30.19370,-22.88365,0,0.59300,0.09500,-0.07200,0,Mass,0.000000,,,0,1680.00,390.00,-330.00,0,1783,104,-88,0,0,<a refstr=BOUCHY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A.201B/abstract target=ref>Bouchy et al. 2024</a>,,5700.00,80.00,-80.00,0,1.77,0.03,-0.03,0,1.07,0.06,-0.06,0,0.000,0.080,-0.080,0,[Fe/H],4.05,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h44m06.37s,206.0265266,-32d31m22.71s,-32.5229747,942.1220000,29.5920000,-27.8740000,13.5230000,0.1490000,-0.1490000,11.8590000,0.0280000,-0.0280000,13.3475000,0.0003840,-0.0003840,2024-06-10,2024-04,2024-06-10
NGTS-30 b,NGTS-30,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BATTLEY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240402974B/abstract target=ref>Battley et al. 2024</a>,98.29838000,0.00010000,-0.00009000,0,0.408000,0.019000,-0.019000,0,10.402,0.359,-0.359,0,0.928,0.032,-0.032,0,305.11527,17.79839,-17.79839,0,0.96000,0.05600,-0.05600,0,Mass,0.294000,0.014000,-0.010000,0,,,,,500,55,-84,0,0,<a refstr=BATTLEY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240402974B/abstract target=ref>Battley et al. 2024</a>,,5455.00,80.00,-80.00,0,0.91,0.03,-0.03,0,0.94,0.06,-0.06,0,-0.030,0.080,-0.080,0,[Fe/H],4.30,0.50,-0.50,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h34m51.57s,173.7148670,-24d36m19.73s,-24.6054801,238.3770000,2.4380000,-2.3890000,12.5370000,0.2140000,-0.2140000,10.5010000,0.0220000,-0.0220000,12.1755000,0.0001790,-0.0001790,2024-04-15,2024-04,2024-04-15
TIC 139270665 b,TIC 139270665,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PELUSO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..170P/abstract target=ref>Peluso et al. 2024</a>,23.62400000,0.03000000,-0.03100000,0,0.163000,0.002700,-0.003300,0,7.230,0.269,-0.247,0,0.645,0.024,-0.022,0,147.15455,14.62011,-14.62011,0,0.46300,0.04600,-0.04600,0,Mass,0.105000,0.053000,-0.050000,0,40.30,3.40,-2.70,0,703,14,-11,0,0,<a refstr=PELUSO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..170P/abstract target=ref>Peluso et al. 2024</a>,G2,5844.00,84.00,-82.00,0,1.02,0.04,-0.03,0,1.03,0.05,-0.06,0,0.156,0.057,-0.056,0,[Fe/H],4.44,0.03,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h16m08.14s,124.0338967,+33d17m29.23s,33.2914532,189.8750000,1.6150000,-1.5890000,10.3850000,0.0050000,-0.0050000,8.9460000,0.0190000,-0.0190000,10.1805000,0.0003470,-0.0003470,2024-05-08,2024-04,2024-05-08
TIC 172900988 b,TIC 172900988 Aa,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KOSTOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..234K/abstract target=ref>Kostov et al. 2021</a>,200.45200000,0.01100000,-0.01100000,0,0.902810,0.000160,-0.000160,0,11.250,0.440,-0.440,0,1.004,0.039,-0.039,0,942.00000,5.60000,-5.60000,0,2.96386,0.01762,-0.01762,0,Mass,0.027100,0.001100,-0.001100,0,,,,,,,,,0,<a refstr=KOSTOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..234K/abstract target=ref>Kostov et al. 2021</a>,F9,6050.00,100.00,-100.00,0,1.38,0.00,0.00,0,1.24,0.00,0.00,0,0.340,0.100,-0.100,0,[Fe/H],4.25,0.00,0.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h34m38.80s,128.6616644,+31d33m14.33s,31.5539793,250.9560000,3.2540000,-3.1720000,10.1410000,0.0060000,-0.0060000,8.7620000,0.0190000,-0.0190000,10.0477000,0.0005520,-0.0005520,2021-09-08,2021-12,2021-09-08
TIC 237913194 b,TIC 237913194,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=SCHLECKER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..275S/abstract target=ref>Schlecker et al. 2020</a>,15.16886500,0.00001800,-0.00001800,0,0.120700,0.003700,-0.003700,0,12.520,0.605,-0.527,0,1.117,0.054,-0.047,0,617.22586,29.24036,-28.92253,0,1.94200,0.09200,-0.09100,0,Mass,0.575000,0.011000,-0.011000,0,,,,,974,,,0,0,<a refstr=SCHLECKER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..275S/abstract target=ref>Schlecker et al. 2020</a>,G3,5788.00,80.00,-80.00,0,1.09,0.01,-0.01,0,1.03,0.06,-0.06,0,0.140,0.050,-0.050,0,[Fe/H],4.38,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h29m46.99s,22.4458116,-60d44m23.67s,-60.7399096,306.0630000,2.0510000,-2.0250000,12.1440000,0.0690000,-0.0690000,10.4850000,0.0210000,-0.0210000,11.9371000,0.0001760,-0.0001760,2020-12-10,2020-12,2020-12-17
TIC 241249530 b,TIC 241249530,1,2,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GUPTA_ET_AL__2024 href=https://www.nature.com/articles/s41586-024-07688-3 target=ref>Gupta et al. 2024</a>,165.77190000,0.00027000,-0.00028000,0,0.641000,0.010000,-0.012000,0,13.294,0.415,-0.448,0,1.186,0.037,-0.040,0,1582.78547,50.85255,-57.20911,0,4.98000,0.16000,-0.18000,0,Mass,0.941200,0.000900,-0.000900,0,,,,,,,,,0,<a refstr=GUPTA_ET_AL__2024 href=https://www.nature.com/articles/s41586-024-07688-3 target=ref>Gupta et al. 2024</a>,,6166.00,43.00,-43.00,0,1.40,0.03,-0.03,0,1.27,0.06,-0.07,0,0.090,0.030,-0.030,0,[Fe/H],4.23,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h21m14.14s,95.3088995,+53d17m42.07s,53.2950203,324.4480000,3.6960000,-3.6150000,11.9080000,0.0290000,-0.0290000,10.1920000,0.0210000,-0.0210000,11.5650000,0.0003430,-0.0003430,2024-07-22,2024-07,2024-07-22
TIC 257060897 b,TIC 257060897,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MONTALTO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.2908M/abstract target=ref>Montalto et al. 2022</a>,3.66002800,0.00000600,-0.00000600,0,0.051000,0.002000,-0.002000,0,16.701,0.448,-0.448,0,1.490,0.040,-0.040,0,212.94503,9.53485,-9.53485,0,0.67000,0.03000,-0.03000,0,Mass,0.030000,0.020000,-0.020000,0,,,,,1762,21,-21,0,0,<a refstr=MONTALTO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.2908M/abstract target=ref>Montalto et al. 2022</a>,,,,,,1.82,0.05,-0.05,0,1.32,0.04,-0.04,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h10m07.72s,227.5321527,+72d42m37.13s,72.7103128,505.7030000,5.1260000,-5.0250000,11.8140000,0.0200000,-0.0200000,10.3870000,0.0170000,-0.0170000,11.6659000,0.0001630,-0.0001630,2021-10-04,2022-01,2021-10-04
TIC 279401253 b,TIC 279401253,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BOZHILOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230210838B/abstract target=ref>Bozhilov et al. 2023</a>,76.80000000,0.06000000,-0.06000000,0,0.369000,0.003000,-0.003000,0,11.209,0.448,-0.448,0,1.000,0.040,-0.040,0,1951.46642,123.95308,-133.48793,0,6.14000,0.39000,-0.42000,0,Mass,0.448000,0.029000,-0.028000,0,,,,,,,,,0,<a refstr=BOZHILOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230210838B/abstract target=ref>Bozhilov et al. 2023</a>,,5951.00,80.00,-80.00,0,1.06,0.01,-0.01,0,1.13,0.02,-0.03,0,0.200,0.050,-0.050,0,[Fe/H],4.44,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h50m37.73s,57.6572277,-15d01m34.41s,-15.0262251,285.5840000,2.7900000,-2.7380000,11.9380000,0.0370000,-0.0370000,10.3450000,0.0190000,-0.0190000,11.6965000,0.0004200,-0.0004200,2023-03-15,2023-02,2023-03-15
TIC 365102760 b,TIC 365102760,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GRUNBLATT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168....1G/abstract target=ref>Grunblatt et al. 2024</a>,4.21285367,0.00000074,-0.00000074,0,0.062200,0.004900,-0.004900,0,6.210,0.760,-0.760,0,0.554,0.068,-0.068,0,19.20000,4.20000,-4.20000,0,0.06041,0.01321,-0.01321,0,Mass,0.406000,,,1,,,,,,,,,0,<a refstr=GRUNBLATT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168....1G/abstract target=ref>Grunblatt et al. 2024</a>,,4900.00,90.00,-90.00,0,3.13,0.12,-0.12,0,1.17,0.12,-0.12,0,0.090,0.140,-0.140,0,[Fe/H],3.52,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h23m21.56s,305.8398236,+54d23m39.55s,54.3943194,555.5460000,7.6990000,-7.4940000,12.1540000,0.0340000,-0.0340000,9.7880000,0.0200000,-0.0200000,11.9772000,0.0001540,-0.0001540,2024-06-25,2024-07,2024-06-25
TIC 393818343 b,TIC 393818343,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=SGRO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240515021S/abstract target=ref>Sgro et al. 2024</a>,16.24921000,0.00010000,-0.00011000,0,0.129100,0.002100,-0.002200,0,12.184,0.258,-0.235,0,1.087,0.023,-0.021,0,1379.37529,47.67426,-47.67426,0,4.34000,0.15000,-0.15000,0,Mass,0.605800,0.002300,-0.002300,0,2.28,2.42,-2.28,0,806,10,-9,0,0,<a refstr=SGRO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240515021S/abstract target=ref>Sgro et al. 2024</a>,,5756.00,67.00,-66.00,0,1.09,0.02,-0.02,0,1.08,0.06,-0.06,0,0.318,0.058,-0.058,0,[Fe/H],4.40,0.01,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h41m10.01s,310.2917002,+03d38m17.87s,3.6382967,93.7345000,0.3527000,-0.3500000,9.4800000,0.0040000,-0.0040000,8.0520000,0.0330000,-0.0330000,9.4290710,0.0001960,-0.0001960,2024-06-09,2024-05,2024-06-09
TIC 46432937 b,TIC 46432937,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HARTMAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240707187H/abstract target=ref>Hartman et al. 2024</a>,1.44044527,0.00000009,-0.00000009,0,0.020650,0.000350,-0.000350,0,13.316,0.336,-0.336,0,1.188,0.030,-0.030,0,1017.05090,34.96112,-34.96112,0,3.20000,0.11000,-0.11000,0,Mass,0.009000,,,1,,,,,872,14,-14,0,0,<a refstr=HARTMAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240707187H/abstract target=ref>Hartman et al. 2024</a>,,3572.00,57.00,-57.00,0,0.53,0.01,-0.01,0,0.56,0.03,-0.03,0,0.323,0.081,-0.081,0,[Fe/H],4.74,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h35m28.56s,83.8689794,-14d35m49.89s,-14.5971909,90.5369000,0.2080000,-0.2070000,14.2680000,0.1370000,-0.1370000,10.1950000,0.0200000,-0.0200000,13.4330000,0.0003800,-0.0003800,2024-07-22,2024-07,2024-07-22
TOI-1052 b,TOI-1052,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ARMSTRONG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.2090A/abstract target=ref>Armstrong et al. 2023</a>,9.13970300,0.00019000,-0.00019700,0,0.091030,0.000620,-0.000630,0,2.870,0.290,-0.240,0,0.256,0.026,-0.021,0,16.90000,1.70000,-1.70000,0,0.05317,0.00535,-0.00535,0,Mass,0.180000,0.090000,-0.071000,0,246.00,13.00,-13.00,0,1135,,,0,0,<a refstr=ARMSTRONG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.2090A/abstract target=ref>Armstrong et al. 2023</a>,,6146.00,62.00,-62.00,0,1.26,0.03,-0.03,0,1.20,0.03,-0.03,0,0.140,0.013,-0.013,0,[Fe/H],4.30,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h30m02.47s,337.5102738,-75d38m47.62s,-75.6465606,129.8040000,0.5600000,-0.5550000,9.5110000,0.0030000,-0.0030000,8.2460000,0.0250000,-0.0250000,9.3997200,0.0003090,-0.0003090,2023-08-10,2023-07,2023-08-10
TOI-1062 b,TOI-1062,1,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=OTEGI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A.105O/abstract target=ref>Otegi et al. 2021</a>,4.11296000,0.00150000,-0.00150000,0,0.052000,0.024000,-0.025000,0,2.265,0.096,-0.091,0,0.202,0.009,-0.008,0,10.15000,0.81000,-0.84000,0,0.03194,0.00255,-0.00264,0,Mass,0.177000,0.067000,-0.064000,0,232.00,11.00,-10.00,0,1077,10,-9,0,0,<a refstr=OTEGI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A.105O/abstract target=ref>Otegi et al. 2021</a>,G9 V,5328.00,56.00,-56.00,0,0.84,0.09,-0.09,0,0.94,0.02,-0.02,0,0.140,0.040,-0.040,0,[Fe/H],4.55,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h32m29.03s,38.1209678,-78d01m25.26s,-78.0236828,82.1733000,0.1635000,-0.1629000,10.2490000,0.0050000,-0.0050000,8.2960000,0.0310000,-0.0310000,10.0008000,0.0003740,-0.0003740,2021-08-03,2021-09,2021-08-03
TOI-1064 b,TOI-1064,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WILSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp..107W/abstract target=ref>Wilson et al. 2022</a>,6.44386800,0.00002500,-0.00002500,0,0.061520,0.000860,-0.000890,0,2.587,0.043,-0.042,0,0.231,0.004,-0.004,0,13.50000,1.70000,-1.80000,0,0.04248,0.00535,-0.00566,0,Mass,0.047000,0.038000,-0.030000,0,62.90,4.20,-4.00,0,784,13,-13,0,0,<a refstr=WILSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp..107W/abstract target=ref>Wilson et al. 2022</a>,,4734.00,67.00,-67.00,0,0.73,0.01,-0.01,0,0.75,0.03,-0.03,0,0.050,0.080,-0.080,0,[Fe/H],4.60,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m00.94s,296.0039349,-47d33m43.31s,-47.5620305,68.0726000,0.3639000,-0.3601000,10.9380000,0.0460000,-0.0460000,8.4670000,0.0340000,-0.0340000,10.6491000,0.0013340,-0.0013340,2022-01-31,2022-01,2022-01-31
TOI-1064 c,TOI-1064,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WILSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp..107W/abstract target=ref>Wilson et al. 2022</a>,12.22657400,0.00004600,-0.00004300,0,0.094290,0.001320,-0.001360,0,2.651,0.043,-0.042,0,0.237,0.004,-0.004,0,2.50000,1.80000,-2.00000,0,0.00787,0.00566,-0.00629,0,Mass,0.088000,0.081000,-0.064000,0,26.80,1.80,-1.70,0,634,10,-10,0,0,<a refstr=WILSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp..107W/abstract target=ref>Wilson et al. 2022</a>,,4734.00,67.00,-67.00,0,0.73,0.01,-0.01,0,0.75,0.03,-0.03,0,0.050,0.080,-0.080,0,[Fe/H],4.60,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m00.94s,296.0039349,-47d33m43.31s,-47.5620305,68.0726000,0.3639000,-0.3601000,10.9380000,0.0460000,-0.0460000,8.4670000,0.0340000,-0.0340000,10.6491000,0.0013340,-0.0013340,2022-01-31,2022-01,2022-01-31
TOI-1075 b,TOI-1075,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ESSACK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221014901E/abstract target=ref>Essack et al. 2022</a>,0.60473280,0.00000320,-0.00000320,0,0.011590,0.000230,-0.000200,0,1.791,0.116,-0.081,0,0.160,0.010,-0.007,0,9.95000,1.36000,-1.30000,0,0.03131,0.00428,-0.00409,0,Mass,0.000000,,,0,509.20,18.70,-20.40,0,1323,44,-44,0,0,<a refstr=ESSACK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221014901E/abstract target=ref>Essack et al. 2022</a>,K9 V/M0 V,3875.00,75.00,-75.00,0,0.58,0.02,-0.02,0,0.60,0.03,-0.03,0,-0.080,0.090,-0.090,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h39m53.09s,309.9712091,-65d26m58.92s,-65.4496994,61.4592000,0.0943500,-0.0943500,12.6150000,0.0690000,-0.0690000,9.1150000,0.0230000,-0.0230000,12.0544000,0.0002320,-0.0002320,2022-11-07,2022-10,2022-11-07
TOI-1107 b,TOI-1107,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PSARIDI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220510854P/abstract target=ref>Psaridi et al. 2022</a>,4.07823870,0.00000240,-0.00000250,0,0.056100,0.002400,-0.002500,0,14.572,0.560,-0.560,0,1.300,0.050,-0.050,0,1064.72516,57.20911,-57.20911,0,3.35000,0.18000,-0.18000,0,Mass,0.025000,0.023000,-0.016000,0,532.00,92.00,-93.00,0,1728,27,-27,0,0,<a refstr=PSARIDI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220510854P/abstract target=ref>Psaridi et al. 2022</a>,F6 V,6311.00,98.00,-98.00,0,1.81,0.06,-0.06,0,1.35,0.08,-0.08,0,-0.100,0.090,-0.090,0,[Fe/H],4.05,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h22m25.89s,155.6078632,-82d13m07.93s,-82.2188693,281.3140000,2.0310000,-2.0030000,10.5530000,0.0060000,-0.0060000,9.2050000,0.0190000,-0.0190000,10.3745000,0.0003670,-0.0003670,2022-06-08,2022-05,2022-06-08
